Position,Company,Location,Industry,Posted On,Extracted On,Job Type,Qualification,Job Description,Job Id,Experience,Start Date,End Date,Source
Full Stack Web / Database Developer,Swift Strategic Solution Inc.,Seattle WC,Recruiting and Staffing,,,,,"A private client of our is looking for a Full-stack web data base developer.This is going to be contracted base.
Client is seeking a candidate experience with Design, build, customize, and maintain enterprise-level applications, including commercial off-the-self (COTS) applications.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2401764821&geoId=104116203&keywords=web%20developer&location=Seattle%2C%20Washington%2C%20United%20States&start=25
Web Developer (JAVA),Ace Technologies,Seattle WC,Information Technology & Servicess,,,,,"Candidates must take an online test or an evaluation screen from an technical resource prior to being submitted.
Java Fullstack Developer
Intermediate to Expert software engineer with experience in architecture, design and development of microservices + web UI, as well as the ability to work across the entire stack with some experience in systems/infrastructure for large-scale programs.
",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2401818097&geoId=104116203&keywords=web%20developer&location=Seattle%2C%20Washington%2C%20United%20States&start=25
Net Developer,Ace Technologies,Seattle WC,Information Technology & Servicess,,,,,"NET Programming Language (P2 - Intermediate).
Docker Kubernetes Architecture and Design.
 Our client requires a Full Stack Web Developer. Will be responsible for developing Azure solutions.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2401818111&distance=25&geoId=104116203&keywords=web%20developer&start=150
Web Developer,Solekai Systems a Fairway Technologies Company,Seattle WC,Information Technology & Servicess,,,,,"The Web Designer will be part of an Accenture team supporting a Department of Defense (DoD) Intelligence Community (IC) organization. The candidate will use their skills to deliver an innovative knowledge base and collaborative work space solution utilizing HTML, CSS, JavaScript, jQuery, and REST calls to facilitate and automate better business processes and knowledge management. The candidate should be driven by curiosity, exploring techniques to provide an enhanced user experience for our customer. This role requires an extensive amount of self-initiative and the ability to work independently. The candidate will collaborate directly with the client and functional lead. The responsibilities will include, but are not limited to:",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2403227201&distance=25&geoId=104116203&keywords=web%20developer&start=50
Software Developer,Moss Adams,Seattle WC,Oil and Gas,,,,,"As a Developer on the Software Applications Team, you will be a key member of our software development team, delivering high quality software to our clients. You thrive on an integrated cross-functional team, partnering with Technical Program Managers, Technical Analysis, Architects, Quality Engineers and other Developers. You are a technology expert and excel at rolling up your sleeves to solve problems. You are interested in the latest tools and methodologies, building upon your expertise with Industry standard technologies. You are curious and a continuous learner.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2404428418&distance=25&geoId=104116203&keywords=web%20developer&start=125
Senior PHP Developer,Feedonomics,Seattle WC,Marketing and Advertising,,,,,"We are looking for a highly motivated and experienced Senior Full Stack Software Engineer to join the Engineering team at Feedonomics, headquartered in Los Angeles. You will be working with a motivated and vibrant team of Engineers in developing the amazing features that power our robust and scalable SaaS platform.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2405004056&distance=25&geoId=104116203&keywords=web%20developer&start=50
Net Developer,Robert Half,Seattle WC,Recruiting and Staffing,,,,,"This role will start off as remote, but qualified candidates must be located in the Greater Seattle Area.
This is an immediate need for our client, so please respond with your resume and salary requirements.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2405025923&keywords=web%20developer%20in%20seattle%20washington
Senior Software Engineer,ProArch Consulting Services,Seattle WC,Recruiting and Staffing,,,,,"This opportunity has room to grow both personally and professionally, comes with autonomy and a complete lack of corporate bullshit. You'll also have a chance to work with ad tech veterans and world-class marketing experts to expand on our already successful product line. 

Please keep in mind we're only interested in hiring highly functioning, meticulous, responsible, and dedicated ""A"" players. We are very selective about who we bring onto our team and we challenge those team members to become better every day. If challenges concern you, or you don't consider yourself a highly motivated ""A"" player, we appreciate you reading this far, but we're simply not interested.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2405554565&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=225
Full Stack Web Developer,Amplify Consulting Partners Inc.,Seattle WC,Information Technology & Servicess,,,,,"We are looking for an experienced Full Stack Web Developer to work on technology that brings marketing + technology + creativity together. In this meaningful role, you will be primarily responsible for building and implementing fast, responsive, user - friendly web apps. You will work with the product team and other development teams to create our groundbreaking product as it evolves.
The ideal candidate will be responsible for developing high-quality applications. They will also be responsible for designing and implementing testable and scalable code. ",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2405823325&keywords=web%20developer%20in%20seattle%20washington
Web Project Manager,HarborView Medical Center,Seattle WC,Hospital & Health Care,,,,,"The Web Project Manager is responsible for business analysis and project management for the UWs Office of Research website (www.washington.edu/research), as well as associated websites and web applications. The UWs research community on all three campuses utilizes this high-profile collection of WordPress sites to access critical information and conduct their work. The site is also an important vehicle for communicating about the research enterprise to the UW community, peer institutions, and the general public.

A collaborative project of the Office of Research units, the site is home to policy, process and technical information organized according to the research lifecycle, as well as research-related training, that is essential for supporting the research mission at the university and accelerating research. The UWs Office of Research is looked to as a leader by peer institutions in website design and content. Our site is used frequently (in FY20 the site was visited by more than 300,000 users) and requires a high degree of up-time to meet the needs of busy researchers working all over the world. The Web Project Manager will lead web teams projects and work closely with partners and stakeholders to realize the Office of Researchs vision for the site. This position will also contribute to analysis and decision-making in the areas of information architecture, design, accessibility, and technical infrastructure to create an exceptional experience for users.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2405958892&distance=25&geoId=104116203&keywords=web%20developer&start=100
